column 1,column 2
FeedbackID," Commentaire"
"1   "," I absolutely love this product!"
"2   "," I don't like the color it's too bright."
"3   "," I think the product is too expensive."
"4   "," I would buy this product again."
"5  "," I would not recommend this product to anyone."
"6 ",I don't like the color it's too bright.
7	,I love this product! It's amazing.
"8   ",I think the packaging could be better.
9,I think the quality is not good.
"10 ",I would recommend this product to others
"11 ",I would recommend this product to others.
12	,The delivery was late but acceptable.
"13   ",The delivery was on time but acceptable.
"14   ",This is the best service ever.
15	,This is the worst service ever.
